created_at;text;tipster;is_tip
Wed Jun 12 10:24:52 +0000 2019;"Last 14 vip tips...

âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âŒâœ…âœ…âœ…

message me to join the Glory! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Wed Jun 12 10:23:33 +0000 2019;RT @shrekky24: @GodofGVip Easy as that ğŸ’¥ğŸ’¥;godofgambling;False
Wed Jun 12 10:23:04 +0000 2019;RT @LondonSuperBees: @GodofGVip 1st tip taken from you guys 1st tip BOOOOOM!! ğŸ˜€ğŸ˜€ğŸ˜€ğŸ‘ŠğŸ»;godofgambling;False
Wed Jun 12 10:22:56 +0000 2019;"BOOOOOOOOOOOOOOOOOOOOOOOOMMM!!! 13th Winner from our Last 14 vip tips!! Mad to miss out we smash it everyday! ğŸ»

meâ€¦ https://t.co/voMs9NXji2";godofgambling;False
Wed Jun 12 10:22:09 +0000 2019;keeeeeeerrcchhiiinnggg ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥;godofgambling;False
Wed Jun 12 10:00:28 +0000 2019;Plotting our menu today;godofgambling;False
Wed Jun 12 10:00:19 +0000 2019;Good morrrrniing;godofgambling;False
Tue Jun 11 20:40:02 +0000 2019;RT @Manoftoffeeyeah: @godofgambling Thank you Belgium eventually. Pity I bottled it with Germany! ğŸ˜“ https://t.co/621xpqTQUB;godofgambling;False
Tue Jun 11 20:31:34 +0000 2019;How can a team have 28 shots and only score once ğŸ¤¬;godofgambling;False
Tue Jun 11 19:13:37 +0000 2019;RT @shrekky24: @godofgambling 2 disallowed goals ğŸ˜‚ğŸ˜‚;godofgambling;False
Tue Jun 11 19:06:36 +0000 2019;FIRST HALF GOALS PLEASE;godofgambling;False
Tue Jun 11 18:28:47 +0000 2019;"âœ”Double of Destiny âœ”

Euro ğŸ‡ªğŸ‡º 2020 Qualifying
7.45pm

Russia vs Cyprus
ğŸ“Over 2.5 Goals 

Hungary vs Wales
ğŸ“Over 1.5 Goals";godofgambling;True
Tue Jun 11 18:23:40 +0000 2019;"It's time 

75 â¤ for a 7.45pm DOUBLE";godofgambling;False
Tue Jun 11 18:08:47 +0000 2019;RT @_printsphoto: @godofgambling Iâ€™ve gone for over 5.5 in that âš½ï¸âš½ï¸âš½ï¸âš½ï¸âš½ï¸âš½ï¸;godofgambling;False
Tue Jun 11 18:05:48 +0000 2019;USA women vs Thailand W tonight. Was 9-0 in their last meeting in 2016.;godofgambling;False
Tue Jun 11 18:04:21 +0000 2019;RT @JPerks2719: @godofgambling What you think? https://t.co/IlwEv8AE9P;godofgambling;False
Tue Jun 11 18:04:05 +0000 2019;Actually I might do our famous late night Brazil bets in VIP tonight. They love 25 corners by HT in the rainforest ğŸ˜‚ğŸ˜‚ğŸ˜‚;godofgambling;False
Tue Jun 11 18:03:31 +0000 2019;"WARNING 7.45PM TIP INCOMING â°â°â°â°â°â°â°â°â°â°â°â°

message me to join IN! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Tue Jun 11 18:00:16 +0000 2019;RT @LondonMann: @godofgambling Bring it on;godofgambling;False
Tue Jun 11 17:59:56 +0000 2019;No not odds on. 6/4. Yes. This. Is. Not. A drill.;godofgambling;False
Tue Jun 11 17:59:41 +0000 2019;I feel a double of Destiny in my bones;godofgambling;False
Tue Jun 11 17:53:50 +0000 2019;Minute I said my little tweet about goals in W WC. Every game has been unders ğŸ¤¨;godofgambling;False
Tue Jun 11 17:52:03 +0000 2019;"Last 12 tips 

âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âŒâœ…

message me to join the team! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Tue Jun 11 17:51:34 +0000 2019;Ready to smash the Euro qualifiers?;godofgambling;False
Tue Jun 11 17:50:40 +0000 2019;RT @Jamie_Allatt: @godofgambling Had to get on over 10, cos the first corner landed as I put it on ğŸ˜‚;godofgambling;False
Tue Jun 11 17:50:35 +0000 2019;"BOOOOOOOOOOOOOOOOOOOOOOOOOMMMM 10th Winner from our Last 11 tips!! We the real deal ğŸ”¥

message me to join! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Tue Jun 11 17:45:59 +0000 2019;Corner?;godofgambling;False
Tue Jun 11 16:38:54 +0000 2019;150% profit https://t.co/CiN8JLOr7N;godofgambling;False
Tue Jun 11 16:38:29 +0000 2019;Rumours a Double of Destiny is on the menu tonight;godofgambling;False
Tue Jun 11 16:38:13 +0000 2019;Quiet day calls for a grand finale;godofgambling;False
Tue Jun 11 11:57:30 +0000 2019;Chance!!!;godofgambling;False
Tue Jun 11 11:16:50 +0000 2019;@larsjohs âš½ï¸;godofgambling;False
Tue Jun 11 11:05:20 +0000 2019;@larsjohs i cant predict that brother! still time!;godofgambling;False
Tue Jun 11 11:03:04 +0000 2019;1st half red card https://t.co/ojI4zgy9dW;godofgambling;False
Tue Jun 11 10:22:49 +0000 2019;"WARNING 3PM TIP INCOMING â°â°â°â°â°â°â°â°â°â°â°â°

message me to join in! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Tue Jun 11 08:53:19 +0000 2019;@essiterry I'll be on it that too;godofgambling;False
Tue Jun 11 08:28:58 +0000 2019;RT @Purpleohm6661: @godofgambling Best I have achieved is 13 winners , best I have seen from a tipster is 19....keep em coming;godofgambling;False
Tue Jun 11 08:17:48 +0000 2019;9 wins on the spin lol LETS BUILD ON THIS;godofgambling;False
Tue Jun 11 08:17:17 +0000 2019;"Vip tips starting soon! Going for our 10th Winner in a Row ğŸ”¥ğŸ”¥ğŸ”¥

message me to join in! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Tue Jun 11 08:14:44 +0000 2019;Ready to set a blaze of Booms across the sky ğŸ’°ğŸ’°ğŸ’°ğŸ’° https://t.co/FacXa7zMN8;godofgambling;False
Tue Jun 11 08:13:39 +0000 2019;Good morning! Ready to win more money?;godofgambling;False
Mon Jun 10 21:11:27 +0000 2019;@ThisDan1 Only 7th 0-0 in history of womens world cups...;godofgambling;False
Mon Jun 10 20:42:49 +0000 2019;@essiterry Same tomorrow. Skip the 5pm. All the 7.45pms;godofgambling;False
Mon Jun 10 20:16:30 +0000 2019;@MikeyJ_007 Lol;godofgambling;False
Mon Jun 10 20:16:27 +0000 2019;RT @MikeyJ_007: @godofgambling how many corners for Spain ğŸ‡ªğŸ‡¸ tonight? ğŸ˜®;godofgambling;False
Mon Jun 10 19:50:36 +0000 2019;Just Spain game ğŸ¤;godofgambling;False
Mon Jun 10 19:36:07 +0000 2019;They wouldnt let me do Ireland game btts. But the other 11 btts was Â£50k off 7 quid. But that has no chance. Oversâ€¦ https://t.co/Czc8FkL4g6;godofgambling;False
Mon Jun 10 19:35:12 +0000 2019;10/12 have had first half goal and the Spain game is still 0-0. Of all the teams ğŸ¤¬;godofgambling;False
Mon Jun 10 19:33:19 +0000 2019;RT @essiterry: @godofgambling @samm_2304 1100/1;godofgambling;False
Mon Jun 10 19:32:21 +0000 2019;@samm_2304 @essiterry Think I got 800/1;godofgambling;False
Mon Jun 10 19:31:18 +0000 2019;Anyone on all 12 games over 2.5 goals lol?;godofgambling;False
Mon Jun 10 19:30:44 +0000 2019;@PanMarekZ1 You dont need pay twice mate;godofgambling;False
Mon Jun 10 19:30:14 +0000 2019;"Last 10 tips 

âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…

message me to join the Glory! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 19:29:25 +0000 2019;@Jarroson I got 1.5?;godofgambling;False
Mon Jun 10 19:29:14 +0000 2019;Old VIPs. Come home now. Come back to the Boom temple. We had a blip in May when season ended. Now it is only a seaâ€¦ https://t.co/qtYptLppye;godofgambling;False
Mon Jun 10 19:27:28 +0000 2019;"Trust, try my service for a month! You wont regret it! 80% Win Ratio âœ… Secret corner system âœ… Daily Glory âœ…

messagâ€¦ https://t.co/oCtroeK9IR";godofgambling;False
Mon Jun 10 19:26:29 +0000 2019;RT @Levva__: @godofgambling â™¥ï¸;godofgambling;False
Mon Jun 10 19:26:19 +0000 2019;Any league. Any time. Any date. We will deliver Booms. Apart from a few days of darkness on rare occasions;godofgambling;False
Mon Jun 10 19:25:15 +0000 2019;Smash â¤ if u trust in GG;godofgambling;False
Mon Jun 10 19:25:02 +0000 2019;BOOOOOOOOOOOOOOOOOOOOOOOOOOMMMMM EMBRACE ME BROTHERS ğŸ»ğŸ»ğŸ»ğŸ»ğŸ»âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ https://t.co/eDSr4JgZ1N;godofgambling;False
Mon Jun 10 19:15:40 +0000 2019;@flowMu_5 Hope its before half time;godofgambling;False
Mon Jun 10 19:15:24 +0000 2019;@flowMu_5 Hope so;godofgambling;False
Mon Jun 10 19:12:53 +0000 2019;What a time to be alive. Now. FINISH THIS AUSTRIA;godofgambling;False
Mon Jun 10 19:12:28 +0000 2019;RT @samm_2304: @godofgambling Iâ€™m in my second month of your VIP. I havenâ€™t placed on every bet youâ€™ve requested but out of the ones I haveâ€¦;godofgambling;False
Mon Jun 10 19:11:15 +0000 2019;"Last 9 vip tips 

âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…

message me to join the Team! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 19:10:14 +0000 2019;Absolute ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ secret corner machine printing money;godofgambling;False
Mon Jun 10 19:09:45 +0000 2019;RT @clynch_p: @GodofGVip Magic ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥;godofgambling;False
Mon Jun 10 19:09:38 +0000 2019;9 Winners in a row. Vips is my service worth it?;godofgambling;False
Mon Jun 10 19:09:01 +0000 2019;"BOOOOOOOOOOOOOOOOOOOOOOOOOMMM 9 Vip Winners in a row!!! Try us for a month we win nearly everybet!! ğŸ»

message me tâ€¦ https://t.co/kz9ZFYbBbB";godofgambling;False
Mon Jun 10 19:08:04 +0000 2019;Omg God we are getting close to my record VIP win streak here;godofgambling;False
Mon Jun 10 19:03:45 +0000 2019;âš½ï¸ https://t.co/Dgxo0kjNNe;godofgambling;False
Mon Jun 10 18:03:00 +0000 2019;"Single âœ”

Euro ğŸ‡ªğŸ‡º 2020 Qualifying 
7.45pm

North Macedonia vs Austria 
ğŸ“Over 1.5 Goals";godofgambling;True
Mon Jun 10 17:59:18 +0000 2019;Only been six 0-0s in the history of Womens World Cup. There is 7. Still 6/8 games been over 2.5 so far.;godofgambling;False
Mon Jun 10 17:57:58 +0000 2019;"it's time

75 â¤ for a 7.45pm Suprise of joy";godofgambling;False
Mon Jun 10 17:12:09 +0000 2019;"WARNING 7.45PM TIP INCOMING â°â°â°â°â°â°â°â°â°â°

message me to join inğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 17:05:58 +0000 2019;Got my new ultimate secret Tennis boom system to unleash at Wimbdon âœ… Trialled it at French Open. It was a disasterâ€¦ https://t.co/OFeam1nt7L;godofgambling;False
Mon Jun 10 16:50:35 +0000 2019;We got summer covered. Dont u worry brothers. Pure Win Streaks;godofgambling;False
Mon Jun 10 16:42:37 +0000 2019;RT @adam792001: @godofgambling Iâ€™m well up since Iâ€™ve joined VIP , cheers Boss;godofgambling;False
Mon Jun 10 16:42:29 +0000 2019;"Last 8 tips 

âœ…âœ…âœ…âœ…âœ…âœ…âœ…âœ…

message me to join the Betting Revolutio!!! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 16:41:17 +0000 2019;8 wins in a row VIPs? Is my service on ğŸ”¥ğŸ”¥ or what?;godofgambling;False
Mon Jun 10 16:41:03 +0000 2019;Smash â¤ if u need more Booms TONIGHT;godofgambling;False
Mon Jun 10 16:40:50 +0000 2019;RT @WorIdOfFootball: @godofgambling Definitely worth joining his VIP. 8 Wins in a row. Need I say more ğŸ»;godofgambling;False
Mon Jun 10 16:40:40 +0000 2019;RT @ifedayo_: @GodofGVip BOOOOOOOOOMâš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸âš¡ï¸;godofgambling;False
Mon Jun 10 16:39:12 +0000 2019;"BOOOOOOOOOOOOOOOOOOOOOOOOOMMM 8 VIP Wins in a row!! Mad to miss out we smashing it â¤â¤â¤

message me to join! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 16:38:29 +0000 2019;This is getting silly;godofgambling;False
Mon Jun 10 16:33:04 +0000 2019;RT @Manoftoffeeyeah: @godofgambling Couple more thank you's! https://t.co/RhnK2jZjmU;godofgambling;False
Mon Jun 10 16:23:38 +0000 2019;By half time hopefully;godofgambling;False
Mon Jun 10 16:23:29 +0000 2019;LOOOOOOOOOOOL prepare for 8th Winner in a row;godofgambling;False
Mon Jun 10 15:33:59 +0000 2019;Imagine being on a double now. That's the VIP excitement. It will win too;godofgambling;False
Mon Jun 10 15:33:36 +0000 2019;Part one of the double of Destiny âœ…;godofgambling;False
Mon Jun 10 15:07:23 +0000 2019;RT @Jamie_Allatt: @godofgambling Never in doubt;godofgambling;False
Mon Jun 10 15:07:12 +0000 2019;"Last 7 vip tips 

âœ…âœ…âœ…âœ…âœ…âœ…âœ…

message me to join the Glory! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 15:05:11 +0000 2019;Euro qualifiers tonight https://t.co/095PxJ7euw;godofgambling;False
Mon Jun 10 15:03:47 +0000 2019;RT @JimT38731094: @godofgambling You are a god. Put my full purse on it. Ba Ba Ba BooM Shalak Lak BOOM!;godofgambling;False
Mon Jun 10 15:03:45 +0000 2019;"Vip tip next today! Trust try my beautiful service we won 7 in a row âœ…

message me to join! ğŸ‘‡https://t.co/mw4cZnumRI";godofgambling;False
Mon Jun 10 14:59:18 +0000 2019;RT @RLucky24: @godofgambling Never scared always have faith in you bless man;godofgambling;False
Mon Jun 10 14:59:08 +0000 2019;RT @robbarnes95: @godofgambling Done over 3.5 goals , BOOOOOOM!!;godofgambling;False
Mon Jun 10 14:58:42 +0000 2019;Looooool 3-1;godofgambling;False
